gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
119,476,4,Right+Jump,594,136,2,-3,1,0,0
120,480,0,NOOP,594,128,2,-1,1,0,0
121,484,11,Down,595,128,2,1,1,0,1
122,488,2,Left,595,135,-1,2,1,0,0
123,492,9,Right+Jump+Run,594,148,1,4,1,0,-1
124,496,9,Right+Jump+Run,594,165,0,4,1,0,0
125,500,9,Right+Jump+Run,594,176,2,0,0,1,0
126,504,7,Right+Run,594,176,0,0,0,1,0
127,508,9,Right+Jump+Run,594,160,2,-4,1,0,0
128,512,9,Right+Jump+Run,594,147,0,-3,1,0,0
129,516,9,Right+Jump+Run,594,136,2,-3,1,0,0
130,520,9,Right+Jump+Run,595,127,5,-2,1,0,1
131,524,7,Right+Run,597,121,7,-1,1,0,2
132,528,5,Left+Jump,598,123,5,1,1,0,1
133,532,9,Right+Jump+Run,600,128,8,0,0,1,2
134,536,9,Right+Jump+Run,602,128,11,0,0,1,2
135,540,4,Right+Jump,605,128,15,0,0,1,3
136,544,1,Right,610,128,18,0,0,1,5
137,548,9,Right+Jump+Run,614,112,21,-4,1,0,4
138,552,7,Right+Run,620,100,23,-3,1,0,6
139,556,8,Left+Run,625,94,21,-1,1,0,5
140,560,9,Right+Jump+Run,631,95,23,0,1,0,6
141,564,9,Right+Jump+Run,637,101,24,2,1,0,6
142,568,4,Right+Jump,643,113,24,3,1,0,6
143,572,9,Right+Jump+Run,649,130,24,4,1,0,6
144,576,3,Jump,655,146,24,4,1,0,6
145,580,4,Right+Jump,661,163,24,4,1,0,6
146,584,2,Left,667,164,22,-4,1,0,6
147,588,1,Right,672,153,24,-2,1,0,5
148,592,11,Down,678,148,24,-1,1,0,6
149,596,6,Run,684,150,24,1,1,0,6
150,600,7,Right+Run,690,157,24,2,1,0,6
151,604,8,Left+Run,696,170,21,4,1,0,6
152,608,9,Right+Jump+Run,702,176,24,0,0,1,6
153,612,9,Right+Jump+Run,708,176,28,0,0,1,6
154,616,9,Right+Jump+Run,716,176,32,0,0,1,8
155,620,1,Right,723,176,0,0,0,1,7
156,624,3,Jump,722,156,0,-5,1,0,-1
157,628,4,Right+Jump,722,140,2,-4,1,0,0
158,632,4,Right+Jump,722,126,0,-4,1,0,0
159,636,9,Right+Jump+Run,722,114,2,-3,1,0,0
160,640,9,Right+Jump+Run,723,105,6,-2,1,0,1
161,644,3,Jump,725,99,6,-2,1,0,2
162,648,6,Run,726,97,6,1,1,0,1
163,652,4,Right+Jump,728,104,9,3,1,0,2
