timestamp,episode,duration_seconds,total_steps,total_reward,mario_x_final,mario_x_max,level_completed,death_cause,lives_remaining,score,coins_collected,enemies_killed,powerups_collected,time_remaining,completion_percentage,average_reward_per_step,max_q_value,min_q_value,exploration_actions,exploitation_actions
2026-03-25T18:21:40.574271,1,8.247447490692139,490,-17.699999999999974,54,54,False,stuck_timeout,0,0,0,0,0,0,1.7045454545454544,-0.036122448979591784,0.0,0.0,489,0
2026-03-25T18:21:49.391135,2,8.034911155700684,482,-25.800000000000065,49,49,False,stuck_timeout,0,0,0,0,0,0,1.5467171717171717,-0.05352697095435698,0.0,0.0,481,0
2026-03-25T18:21:55.161484,3,5.108745574951172,302,-27.000000000000096,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08940397350993409,0.0,0.0,301,0
2026-03-25T18:22:05.250247,4,9.32134222984314,555,-18.399999999999963,59,59,False,stuck_timeout,0,0,0,0,0,0,1.8623737373737372,-0.033153153153153085,0.0,0.0,553,1
2026-03-25T18:22:18.711746,5,12.585602283477783,758,113.80000000000113,184,184,False,stuck_timeout,0,0,0,0,0,0,5.808080808080808,0.15013192612137352,0.0,0.0,756,1
2026-03-25T18:22:24.804818,6,5.418497562408447,321,-23.60000000000005,41,41,False,stuck_timeout,0,0,0,0,0,0,1.2941919191919191,-0.07352024922118396,0.0,0.0,320,0
2026-03-25T18:22:33.145031,7,7.622710704803467,455,-0.7000000000000774,66,66,False,stuck_timeout,0,0,0,0,0,0,2.083333333333333,-0.0015384615384617087,0.0,0.0,453,1
2026-03-25T18:22:53.780023,8,19.735841751098633,1183,39.99999999999984,126,126,False,stuck_timeout,0,0,0,0,0,0,3.977272727272727,0.03381234150464906,0.0,0.0,1178,4
2026-03-25T18:22:59.500296,9,5.026543617248535,302,-27.20000000000007,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.09006622516556315,0.0,0.0,300,1
2026-03-25T18:23:07.648184,10,7.465282917022705,444,-9.300000000000006,61,61,False,stuck_timeout,0,0,0,0,0,0,1.9255050505050504,-0.02094594594594596,0.0,0.0,441,2
2026-03-25T18:23:13.891387,11,5.612219333648682,332,-24.200000000000074,43,43,False,stuck_timeout,0,0,0,0,0,0,1.3573232323232325,-0.07289156626506046,0.0,0.0,330,1
2026-03-25T18:23:21.782537,12,7.189165115356445,432,-17.299999999999976,50,50,False,stuck_timeout,0,0,0,0,0,0,1.5782828282828283,-0.04004629629629624,0.0,0.0,429,2
2026-03-25T18:23:32.280992,13,9.658271074295044,579,182.7000000000005,253,253,False,death,0,0,0,0,0,0,7.986111111111111,0.3155440414507781,0.0,0.0,575,3
2026-03-25T18:23:42.357412,14,9.307081937789917,559,14.69999999999975,81,81,False,stuck_timeout,0,0,0,0,0,0,2.556818181818182,0.026296958855097943,0.0,0.0,555,3
2026-03-25T18:24:01.724041,15,18.46161413192749,1106,147.3000000000022,245,245,False,stuck_timeout,0,0,0,0,0,0,7.733585858585859,0.13318264014466746,0.0,0.0,1097,8
2026-03-25T18:24:16.251748,16,13.697894096374512,818,25.499999999999716,116,116,False,stuck_timeout,0,0,0,0,0,0,3.6616161616161618,0.03117359413202899,0.0,0.0,811,6
2026-03-25T18:24:24.917604,17,7.966721534729004,473,-18.999999999999986,54,54,False,stuck_timeout,0,0,0,0,0,0,1.7045454545454544,-0.040169133192388976,0.0,0.0,468,4
2026-03-25T18:24:34.847703,18,9.163217782974243,551,-22.69999999999998,59,59,False,stuck_timeout,0,0,0,0,0,0,1.8623737373737372,-0.041197822141560765,0.0,0.0,546,4
2026-03-25T18:24:44.158835,19,8.577375650405884,516,2.3999999999999493,71,71,False,stuck_timeout,0,0,0,0,0,0,2.241161616161616,0.004651162790697576,0.0,0.0,511,4
2026-03-25T18:24:49.846325,20,5.032918214797974,302,-27.000000000000085,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08940397350993405,0.0,0.0,298,3
2026-03-25T18:24:57.832589,21,7.3108038902282715,434,4.899999999999912,72,72,False,stuck_timeout,0,0,0,0,0,0,2.272727272727273,0.01129032258064496,0.0,0.0,429,4
2026-03-25T18:25:05.797288,22,7.301016807556152,435,-14.599999999999953,56,56,False,stuck_timeout,0,0,0,0,0,0,1.7676767676767675,-0.03356321839080449,0.0,0.0,430,4
2026-03-25T18:25:26.260902,23,19.575795888900757,1173,107.50000000000013,195,195,False,death,0,0,0,0,0,0,6.15530303030303,0.0916453537936915,0.0,0.0,1159,13
2026-03-25T18:25:45.725513,24,18.498303413391113,1108,127.00000000000358,231,231,False,stuck_timeout,0,0,0,0,0,0,7.291666666666667,0.11462093862816208,0.0,0.0,1094,13
2026-03-25T18:25:51.515370,25,5.117962121963501,302,-24.700000000000074,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08178807947019892,0.0,0.0,298,3
2026-03-25T18:26:02.884259,26,10.567413091659546,629,165.80000000000064,226,226,False,death,0,0,0,0,0,0,7.133838383838384,0.2635930047694764,0.0,0.0,620,8
2026-03-25T18:26:10.297893,27,6.668128967285156,398,-27.600000000000094,41,41,False,stuck_timeout,0,0,0,0,0,0,1.2941919191919191,-0.06934673366834194,0.0,0.0,392,5
2026-03-25T18:26:19.320058,28,8.244300603866577,490,239.70000000000002,283,283,False,death,0,0,0,0,0,0,8.933080808080808,0.4891836734693878,0.0,0.0,483,6
2026-03-25T18:26:36.810249,29,16.396238088607788,985,117.20000000000118,211,211,False,stuck_timeout,0,0,0,0,0,0,6.660353535353536,0.11898477157360526,0.0,0.0,970,14
2026-03-25T18:26:50.135142,30,12.365502119064331,741,83.30000000000072,155,155,False,stuck_timeout,0,0,0,0,0,0,4.892676767676768,0.11241565452091866,0.0,0.0,729,11
2026-03-25T18:26:56.094077,31,5.207071304321289,313,-25.60000000000008,41,41,False,stuck_timeout,0,0,0,0,0,0,1.2941919191919191,-0.08178913738019195,0.0,0.0,308,4
2026-03-25T18:27:10.498002,32,13.469899892807007,809,20.599999999999657,119,119,False,stuck_timeout,0,0,0,0,0,0,3.756313131313131,0.025463535228676955,0.0,0.0,796,12
2026-03-25T18:27:33.543553,33,21.765669345855713,1302,335.5999999999904,447,447,False,stuck_timeout,0,0,0,0,0,0,14.109848484848486,0.25775729646696655,0.0,0.0,1280,21
2026-03-25T18:27:46.279710,34,11.813963413238525,703,-9.400000000000006,76,76,False,stuck_timeout,0,0,0,0,0,0,2.398989898989899,-0.013371266002844958,0.0,0.0,691,11
2026-03-25T18:27:53.142176,35,6.094746351242065,362,-28.00000000000007,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.07734806629834273,0.0,0.0,355,6
2026-03-25T18:28:10.692770,36,16.342050075531006,977,43.39999999999966,126,126,False,stuck_timeout,0,0,0,0,0,0,3.977272727272727,0.04442169907881234,0.0,0.0,959,17
2026-03-25T18:28:16.492644,37,5.076034784317017,302,-26.900000000000112,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08907284768211958,0.0,0.0,296,5
2026-03-25T18:28:31.695072,38,14.24496054649353,852,-39.60000000000023,53,53,False,stuck_timeout,0,0,0,0,0,0,1.672979797979798,-0.04647887323943689,0.0,0.0,835,16
2026-03-25T18:28:37.587997,39,5.1190502643585205,302,-24.700000000000077,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08178807947019893,0.0,0.0,296,5
2026-03-25T18:28:54.247292,40,15.658651113510132,939,217.90000000000208,311,311,False,stuck_timeout,0,0,0,0,0,0,9.816919191919192,0.23205537806177004,0.0,0.0,920,18
2026-03-25T18:29:03.150731,41,8.080576181411743,482,34.89999999999972,107,107,False,stuck_timeout,0,0,0,0,0,0,3.3775252525252526,0.0724066390041488,0.0,0.0,472,9
2026-03-25T18:29:09.806590,42,5.878875017166138,350,-20.099999999999955,49,49,False,stuck_timeout,0,0,0,0,0,0,1.5467171717171717,-0.0574285714285713,0.0,0.0,342,7
2026-03-25T18:29:15.528777,43,5.009415626525879,302,-28.20000000000007,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.09337748344370884,0.0,0.0,295,6
2026-03-25T18:29:28.716282,44,12.077866554260254,723,24.599999999999547,107,107,False,stuck_timeout,0,0,0,0,0,0,3.3775252525252526,0.03402489626555954,0.0,0.0,707,15
2026-03-25T18:29:43.681183,45,13.909802913665771,835,108.00000000000054,187,187,False,death,0,0,0,0,0,0,5.902777777777778,0.1293413173652701,0.0,0.0,816,18
2026-03-25T18:29:50.191134,46,5.758829832077026,345,-23.700000000000035,45,45,False,stuck_timeout,0,0,0,0,0,0,1.4204545454545454,-0.06869565217391314,0.0,0.0,337,7
2026-03-25T18:30:04.907706,47,13.736653566360474,825,36.89999999999944,127,127,False,stuck_timeout,0,0,0,0,0,0,4.008838383838384,0.04472727272727205,0.0,0.0,805,19
2026-03-25T18:30:15.164283,48,9.396762132644653,561,-14.699999999999923,67,67,False,stuck_timeout,0,0,0,0,0,0,2.11489898989899,-0.026203208556149594,0.0,0.0,547,13
2026-03-25T18:30:47.069708,49,30.550745964050293,1835,316.3999999999925,435,435,False,stuck_timeout,0,0,0,0,0,0,13.731060606060606,0.17242506811988692,0.0,0.0,1790,44
2026-03-25T18:30:57.557236,50,9.579837322235107,571,26.59999999999965,105,105,False,stuck_timeout,0,0,0,0,0,0,3.3143939393939394,0.046584938704027405,0.0,0.0,556,14
2026-03-25T18:31:03.190410,51,5.113522291183472,302,-26.50000000000008,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.0877483443708612,0.0,0.0,294,7
2026-03-25T18:31:08.862353,52,5.166256427764893,302,-27.00000000000009,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08940397350993406,0.0,0.0,294,7
2026-03-25T18:31:17.406347,53,8.033431053161621,481,42.999999999999915,109,109,False,stuck_timeout,0,0,0,0,0,0,3.4406565656565657,0.08939708939708922,0.0,0.0,469,11
2026-03-25T18:31:23.013276,54,5.100755214691162,302,-28.000000000000117,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.09271523178807986,0.0,0.0,294,7
2026-03-25T18:31:28.585225,55,5.065919399261475,302,-25.30000000000009,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08377483443708639,0.0,0.0,294,7
2026-03-25T18:31:36.679277,56,7.583312273025513,454,-6.800000000000029,61,61,False,stuck_timeout,0,0,0,0,0,0,1.9255050505050504,-0.014977973568282002,0.0,0.0,442,11
2026-03-25T18:31:51.196763,57,11.567554235458374,690,224.49999999999997,286,286,False,death,0,0,0,0,0,0,9.027777777777777,0.32536231884057965,9.909828186035156,9.909828186035156,672,17
2026-03-25T18:32:09.120680,58,17.405875205993652,1043,-26.300000000000058,75,75,False,stuck_timeout,0,0,0,0,0,0,2.367424242424242,-0.02521572387344205,9.909828186035156,9.909828186035156,1016,26
2026-03-25T18:32:14.639233,59,5.002089262008667,302,-26.600000000000108,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08807947019867586,9.909828186035156,9.909828186035156,294,7
2026-03-25T18:32:28.191837,60,11.612066984176636,692,155.4000000000018,227,227,False,stuck_timeout,0,0,0,0,0,0,7.16540404040404,0.2245664739884419,9.833890914916992,9.833890914916992,674,17
2026-03-25T18:32:37.366898,61,8.66518783569336,515,-34.00000000000012,44,44,False,stuck_timeout,0,0,0,0,0,0,1.3888888888888888,-0.06601941747572838,9.833890914916992,9.833890914916992,501,13
2026-03-25T18:32:55.312384,62,15.711995363235474,940,228.30000000000126,316,316,False,stuck_timeout,0,0,0,0,0,0,9.974747474747476,0.24287234042553327,9.793512344360352,9.793512344360352,915,24
2026-03-25T18:33:06.207525,63,10.379843711853027,622,88.00000000000091,156,156,False,stuck_timeout,0,0,0,0,0,0,4.924242424242424,0.14147909967845806,9.793512344360352,9.793512344360352,605,16
2026-03-25T18:33:11.744126,64,5.026812791824341,302,-24.800000000000086,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08211920529801353,9.793512344360352,9.793512344360352,294,7
2026-03-25T18:33:17.298429,65,5.049494028091431,302,-27.700000000000045,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.0917218543046359,9.793512344360352,9.793512344360352,294,7
2026-03-25T18:33:52.660096,66,31.35013246536255,1879,376.69999999999334,496,496,False,stuck_timeout,0,0,0,0,0,0,15.656565656565657,0.20047897817987936,10.165618896484375,10.165618896484375,1828,50
2026-03-25T18:34:07.865972,67,13.097801208496094,787,146.3000000000016,223,223,False,stuck_timeout,0,0,0,0,0,0,7.039141414141414,0.1858958068615014,10.14956283569336,10.14956283569336,765,21
2026-03-25T18:34:17.285216,68,8.90878677368164,530,-18.09999999999997,52,52,False,stuck_timeout,0,0,0,0,0,0,1.6414141414141417,-0.03415094339622636,10.14956283569336,10.14956283569336,515,14
2026-03-25T18:34:41.359102,69,21.231178998947144,1274,111.80000000000295,222,222,False,stuck_timeout,0,0,0,0,0,0,7.007575757575757,0.08775510204081864,10.026453018188477,10.026453018188477,1238,35
2026-03-25T18:34:47.284616,70,5.407857894897461,323,-28.100000000000108,40,40,False,stuck_timeout,0,0,0,0,0,0,1.2626262626262625,-0.08699690402476813,10.026453018188477,10.026453018188477,314,8
2026-03-25T18:35:00.329056,71,11.201520442962646,669,208.1000000000015,288,288,False,stuck_timeout,0,0,0,0,0,0,9.090909090909092,0.31106128550074963,9.828043937683105,9.828043937683105,650,18
2026-03-25T18:35:11.384954,72,10.550291776657104,629,107.20000000000084,163,163,False,death,0,0,0,0,0,0,5.14520202020202,0.17042925278219528,9.828043937683105,9.828043937683105,611,17
2026-03-25T18:35:20.789474,73,8.889995813369751,530,-26.70000000000005,51,51,False,stuck_timeout,0,0,0,0,0,0,1.6098484848484849,-0.05037735849056613,9.828043937683105,9.828043937683105,515,14
2026-03-25T18:35:27.905738,74,5.812129974365234,345,225.7,268,268,False,death,0,0,0,0,0,0,8.45959595959596,0.6542028985507246,10.070035934448242,10.070035934448242,335,9
2026-03-25T18:35:37.234008,75,8.816569566726685,524,38.79999999999972,111,111,False,stuck_timeout,0,0,0,0,0,0,3.5037878787878785,0.07404580152671703,10.070035934448242,10.070035934448242,509,14
2026-03-25T18:35:47.486300,76,9.74017596244812,581,38.99999999999985,112,112,False,stuck_timeout,0,0,0,0,0,0,3.535353535353535,0.0671256454388982,10.070035934448242,10.070035934448242,564,16
2026-03-25T18:35:57.518882,77,9.52568006515503,567,-13.999999999999956,71,71,False,stuck_timeout,0,0,0,0,0,0,2.241161616161616,-0.02469135802469128,10.070035934448242,10.070035934448242,550,16
2026-03-25T18:36:12.562982,78,14.53123927116394,872,-2.300000000000197,93,93,False,stuck_timeout,0,0,0,0,0,0,2.9356060606060606,-0.0026376146788993087,10.070035934448242,10.070035934448242,847,24
2026-03-25T18:36:23.580077,79,10.497847080230713,629,77.20000000000105,148,148,False,stuck_timeout,0,0,0,0,0,0,4.671717171717172,0.12273449920508912,10.070035934448242,10.070035934448242,611,17
2026-03-25T18:36:37.773787,80,12.178969860076904,728,2.299999999999817,95,95,False,stuck_timeout,0,0,0,0,0,0,2.9987373737373737,0.003159340659340408,10.068438529968262,10.068438529968262,706,21
2026-03-25T18:36:59.686598,81,19.230445384979248,1153,267.1999999999938,358,358,False,stuck_timeout,0,0,0,0,0,0,11.300505050505052,0.23174327840415768,9.893735885620117,9.893735885620117,1118,34
2026-03-25T18:37:06.732840,82,6.5259928703308105,388,-9.29999999999997,57,57,False,stuck_timeout,0,0,0,0,0,0,1.7992424242424243,-0.02396907216494838,9.893735885620117,9.893735885620117,376,11
