episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
1,2026-03-28T20:32:08.941108,1774747928.941108,1774747948.535489,19.594381093978882,137,4.32449494949495,False,0,0,,66.19999999999963,0.056388415672912806,13.700000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1174,0,59.915135587556584,1.0,terminated,stuck_timeout,exploration
2,2026-03-28T20:32:29.789234,1774747949.789234,1774747955.1027277,5.313493728637695,42,1.3257575757575757,False,0,0,,-21.000000000000043,-0.0666666666666668,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,315,0,59.28302847188295,1.0,terminated,stuck_timeout,exploration
3,2026-03-28T20:32:35.830810,1774747955.83081,1774747966.721468,10.890657901763916,118,3.7247474747474745,False,0,0,,49.49999999999983,0.07580398162327692,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,653,0,59.95964668895129,1.0,terminated,stuck_timeout,exploration
4,2026-03-28T20:32:47.602428,1774747967.602428,1774747972.6734416,5.071013689041138,40,1.2626262626262625,False,0,0,,-20.949999999999974,-0.06937086092715224,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.55416776977864,1.0,terminated,stuck_timeout,exploration
5,2026-03-28T20:32:53.367736,1774747973.3677363,1774747978.3827906,5.015054225921631,40,1.2626262626262625,False,0,0,,-21.75000000000004,-0.072019867549669,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,60.21869084466392,1.0,terminated,stuck_timeout,exploration
6,2026-03-28T20:32:59.074253,1774747979.074253,1774747986.7826488,7.708395719528198,56,1.7676767676767675,False,0,0,,-0.49999999999996003,-0.0010869565217390435,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,460,0,59.675192703801,1.0,terminated,stuck_timeout,exploration
7,2026-03-28T20:33:07.579367,1774747987.5793674,1774748003.3759456,15.796578168869019,69,2.178030303030303,False,0,0,,-25.700000000000152,-0.027167019027484304,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,946,0,59.88638741169414,1.0,terminated,stuck_timeout,exploration
8,2026-03-28T20:33:24.347902,1774748004.3479023,1774748014.8505697,10.502667427062988,196,6.186868686868687,False,0,0,,141.25000000000165,0.22420634920635182,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,630,0,59.98476143085642,1.0,terminated,stuck_timeout,exploration
9,2026-03-28T20:33:35.754243,1774748015.754243,1774748024.7178025,8.963559627532959,242,7.638888888888889,False,0,0,,232.9000000000006,0.4320964749536189,24.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,539,0,60.132360624274554,1.0,failed,death,exploration
10,2026-03-28T20:33:45.541916,1774748025.5419161,1774748032.2408996,6.698983430862427,60,1.893939393939394,False,0,0,,-2.550000000000015,-0.006423173803526486,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,397,0,59.262723082879795,1.0,terminated,stuck_timeout,exploration
