episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
17,2026-03-25T18:24:16.761353,1774481056.7613535,1774481064.7284083,7.967054843902588,54,1.7045454545454544,False,0,0,,-13.599999999999985,-0.028752642706131048,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,473,0,59.369492148281154,1.0,terminated,stuck_timeout,exploration
18,2026-03-25T18:24:25.418460,1774481065.4184597,1774481074.5820713,9.163611650466919,59,1.8623737373737372,False,0,0,,-16.799999999999983,-0.030490018148820297,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,551,0,60.12913041463565,1.0,terminated,stuck_timeout,exploration
19,2026-03-25T18:24:35.355321,1774481075.3553212,1774481083.9331589,8.577837705612183,71,2.241161616161616,False,0,0,,9.49999999999995,0.0184108527131782,7.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,516,0,60.155020147140235,1.0,terminated,stuck_timeout,exploration
20,2026-03-25T18:24:44.660131,1774481084.6601305,1774481089.6934981,5.03336763381958,40,1.2626262626262625,False,0,0,,-23.000000000000085,-0.07615894039735127,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.999591122817854,1.0,terminated,stuck_timeout,exploration
21,2026-03-25T18:24:50.351305,1774481090.3513055,1774481097.662648,7.311342477798462,72,2.272727272727273,False,0,0,,12.099999999999913,0.027880184331797033,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,434,0,59.359823632647405,1.0,terminated,stuck_timeout,exploration
22,2026-03-25T18:24:58.336818,1774481098.3368185,1774481105.638235,7.301416635513306,56,1.7676767676767675,False,0,0,,-8.999999999999954,-0.020689655172413685,5.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,435,0,59.57747951051125,1.0,terminated,stuck_timeout,exploration
23,2026-03-25T18:25:06.300775,1774481106.3007746,1774481125.877074,19.57629942893982,195,6.15530303030303,False,0,0,,127.00000000000013,0.10826939471440761,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1173,0,59.91939407434398,1.0,failed,death,exploration
24,2026-03-25T18:25:26.772843,1774481126.7728434,1774481145.2716298,18.498786449432373,231,7.291666666666667,False,0,0,,150.10000000000358,0.1354693140794256,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1108,0,59.89582089769994,1.0,terminated,stuck_timeout,exploration
25,2026-03-25T18:25:46.231931,1774481146.2319314,1774481151.3502645,5.118333101272583,40,1.2626262626262625,False,0,0,,-20.700000000000074,-0.06854304635761614,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.003584570319006,1.0,terminated,stuck_timeout,exploration
26,2026-03-25T18:25:52.016380,1774481152.0163798,1774481162.5841837,10.567803859710693,226,7.133838383838384,False,0,0,,188.40000000000063,0.29952305246422994,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,629,0,59.5204082466023,1.0,failed,death,exploration
