timestamp,episode,step,fps,memory_usage_mb,gpu_memory_mb,gpu_utilization_percent,cpu_percent,network_inference_ms,frame_processing_ms,websocket_latency_ms,disk_io_mb_per_sec,temperature_gpu_celsius,power_draw_watts
2026-03-17T22:53:05.650253,1,100,60.0,680.22265625,5855.0,17.0,0.0,0.0,0.0,0.0,43122.814453125,39.0,0.0
2026-03-17T22:53:12.329907,1,200,60.0,680.24609375,5855.0,18.0,9.1,0.0,0.0,0.0,43123.580078125,39.0,0.0
2026-03-17T22:53:18.981885,1,300,60.0,680.265625,5855.0,18.0,9.4,0.0,0.0,0.0,43124.244140625,39.0,0.0
2026-03-17T22:53:25.640311,1,400,60.0,680.3046875,5855.0,18.0,9.4,0.0,0.0,0.0,43124.654296875,39.0,0.0
2026-03-17T22:54:30.617311,3,500,60.0,680.2265625,5855.0,17.0,8.3,0.0,0.0,0.0,43157.083984375,39.0,0.0
2026-03-17T22:54:37.257155,3,600,60.0,680.23828125,5855.0,17.0,8.2,0.0,0.0,0.0,43157.443359375,39.0,0.0
2026-03-17T22:54:43.937131,3,700,60.0,680.28515625,5855.0,17.0,8.0,0.0,0.0,0.0,43157.732421875,39.0,0.0
2026-03-17T22:54:50.603563,3,800,60.0,680.3046875,5855.0,17.0,7.5,0.0,0.0,0.0,43158.240234375,39.0,0.0
2026-03-17T22:54:57.259107,3,900,60.0,680.3046875,5855.0,17.0,9.2,0.0,0.0,0.0,43158.474609375,39.0,0.0
2026-03-17T22:55:03.925218,3,1000,60.0,680.32421875,5855.0,17.0,7.0,0.0,0.0,0.0,43166.724609375,39.0,0.0
2026-03-17T22:55:10.585420,3,1100,60.0,680.33984375,5855.0,16.0,7.0,0.0,0.0,0.0,43168.580078125,39.0,0.0
2026-03-17T22:55:17.241101,3,1200,60.0,680.40625,5855.0,17.0,8.2,0.0,0.0,0.0,43168.787109375,39.0,0.0
2026-03-17T22:55:23.895580,3,1300,60.0,680.41015625,5854.0,20.0,8.4,0.0,0.0,0.0,43169.306640625,39.0,0.0
2026-03-17T22:55:30.553545,3,1400,60.0,680.4140625,5854.0,16.0,9.2,0.0,0.0,0.0,43169.513671875,39.0,0.0
2026-03-17T22:55:37.225246,3,1500,60.0,680.4375,5854.0,16.0,8.9,0.0,0.0,0.0,43170.060546875,39.0,0.0
2026-03-17T22:55:43.868911,3,1600,60.0,680.45703125,5854.0,16.0,8.0,0.0,0.0,0.0,43170.419921875,39.0,0.0
2026-03-17T22:55:50.517093,3,1700,60.0,680.47265625,5854.0,16.0,8.7,0.0,0.0,0.0,43171.818359375,39.0,0.0
2026-03-17T22:55:57.197466,3,1800,60.0,680.48828125,5854.0,17.0,9.1,0.0,0.0,0.0,43172.650390625,39.0,0.0
2026-03-17T22:56:03.849642,3,1900,60.0,680.5078125,5854.0,17.0,7.7,0.0,0.0,0.0,43172.876953125,39.0,0.0
2026-03-17T22:56:10.529040,3,2000,60.0,680.52734375,5854.0,17.0,8.9,0.0,0.0,0.0,43173.201171875,39.0,0.0
2026-03-17T22:59:22.500227,5,2100,60.0,680.80078125,5824.0,15.0,8.8,0.0,0.0,0.0,45914.00244140625,39.0,0.0
2026-03-17T22:59:29.156161,5,2200,60.0,680.78515625,5824.0,20.0,8.7,0.0,0.0,0.0,46119.04541015625,39.0,0.0
2026-03-17T22:59:35.818493,5,2300,60.0,680.80078125,5819.0,16.0,8.7,0.0,0.0,0.0,46335.49267578125,39.0,0.0
2026-03-17T23:07:17.299428,10,2400,60.0,680.984375,5815.0,19.0,8.5,0.0,0.0,0.0,48289.00537109375,39.0,0.0
