timestamp,episode,step,fps,memory_usage_mb,gpu_memory_mb,gpu_utilization_percent,cpu_percent,network_inference_ms,frame_processing_ms,websocket_latency_ms,disk_io_mb_per_sec,temperature_gpu_celsius,power_draw_watts
2026-03-16T22:29:22.910343,1,100,60.0,680.36328125,5739.0,16.0,0.0,0.0,0.0,0.0,118569.54541015625,27.0,0.0
2026-03-16T22:29:29.580132,1,200,60.0,680.390625,5759.0,18.0,6.8,0.0,0.0,0.0,118569.98291015625,27.0,0.0
2026-03-16T22:29:36.242388,1,300,60.0,680.421875,5738.0,19.0,8.4,0.0,0.0,0.0,118570.76025390625,27.0,0.0
2026-03-16T22:29:42.911837,1,400,60.0,680.453125,5738.0,18.0,9.1,0.0,0.0,0.0,118570.99072265625,27.0,0.0
2026-03-16T22:29:49.576111,1,500,60.0,680.47265625,5744.0,3.0,8.9,0.0,0.0,0.0,118571.30322265625,27.0,0.0
2026-03-16T22:29:56.238722,1,600,60.0,680.4296875,5738.0,17.0,6.3,0.0,0.0,0.0,118571.59228515625,27.0,0.0
2026-03-16T22:30:02.897844,1,700,60.0,680.44921875,5738.0,16.0,10.1,0.0,0.0,0.0,118571.79541015625,27.0,0.0
2026-03-16T22:30:09.569245,1,800,60.0,680.46875,5738.0,17.0,7.0,0.0,0.0,0.0,118572.01416015625,27.0,0.0
2026-03-16T22:30:16.235966,1,900,60.0,680.48828125,5736.0,18.0,6.1,0.0,0.0,0.0,118572.26025390625,27.0,0.0
2026-03-16T22:30:22.895027,1,1000,60.0,680.51171875,5734.0,17.0,7.0,0.0,0.0,0.0,118572.64306640625,27.0,0.0
2026-03-16T22:30:29.520921,1,1100,60.0,680.52734375,5734.0,17.0,9.6,0.0,0.0,0.0,118572.73291015625,27.0,0.0
2026-03-16T22:30:36.185252,1,1200,60.0,680.59375,5734.0,18.0,8.7,0.0,0.0,0.0,118573.08837890625,27.0,0.0
2026-03-16T22:32:06.101248,2,1300,60.0,681.07421875,5753.0,16.0,8.2,0.0,0.0,0.0,118619.58056640625,27.0,0.0
2026-03-16T22:32:12.729180,2,1400,60.0,681.0859375,5734.0,18.0,9.9,0.0,0.0,0.0,118619.83447265625,27.0,0.0
2026-03-16T22:32:19.378335,2,1500,60.0,681.11328125,5761.0,3.0,7.0,0.0,0.0,0.0,118620.16650390625,27.0,0.0
2026-03-16T22:32:26.031711,2,1600,60.0,681.12890625,5761.0,17.0,8.0,0.0,0.0,0.0,118620.43212890625,27.0,0.0
2026-03-16T22:35:07.142398,4,1700,60.0,681.4609375,5734.0,16.0,9.3,0.0,0.0,0.0,118643.53369140625,27.0,0.0
2026-03-16T22:35:13.793064,4,1800,60.0,681.47265625,5734.0,17.0,11.0,0.0,0.0,0.0,118643.98681640625,27.0,0.0
2026-03-16T22:35:20.443950,4,1900,60.0,681.48046875,5731.0,17.0,10.8,0.0,0.0,0.0,118644.40478515625,27.0,0.0
2026-03-16T22:35:27.126128,4,2000,60.0,681.4921875,5731.0,17.0,9.4,0.0,0.0,0.0,118644.62744140625,27.0,0.0
2026-03-16T22:35:33.789471,4,2100,60.0,681.4921875,5731.0,17.0,8.7,0.0,0.0,0.0,118644.86181640625,27.0,0.0
2026-03-16T22:35:40.442637,4,2200,60.0,681.484375,5731.0,16.0,8.5,0.0,0.0,0.0,118645.06103515625,27.0,0.0
2026-03-16T22:35:47.100452,4,2300,60.0,681.484375,5731.0,17.0,7.8,0.0,0.0,0.0,118645.33056640625,27.0,0.0
2026-03-16T22:35:53.777253,4,2400,60.0,681.48828125,5731.0,17.0,8.0,0.0,0.0,0.0,118645.42041015625,27.0,0.0
