episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
1,2026-03-28T00:18:46.718782,1774675126.718782,1774675132.756831,6.038048982620239,45,1.4204545454545454,False,0,0,,-15.55,-0.04295580110497238,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,362,0,59.953140665465156,1.0,terminated,stuck_timeout,exploration
2,2026-03-28T00:18:53.451337,1774675133.4513369,1774675138.7734406,5.32210373878479,42,1.3257575757575757,False,0,0,,-16.600000000000023,-0.05269841269841277,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,315,0,59.187121382929824,1.0,terminated,stuck_timeout,exploration
3,2026-03-28T00:18:59.402687,1774675139.402687,1774675151.154973,11.752285957336426,189,5.965909090909091,False,0,0,,159.65000000000097,0.22774607703281166,18.900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,701,0,59.647969981737646,1.0,failed,death,exploration
4,2026-03-28T00:19:12.117699,1774675152.1176994,1774675158.185493,6.067793607711792,43,1.3573232323232325,False,0,0,,-19.699999999999985,-0.054419889502762386,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,362,0,59.65924739759116,1.0,terminated,stuck_timeout,exploration
5,2026-03-28T00:19:18.933919,1774675158.933919,1774675173.7852535,14.851334571838379,254,8.017676767676768,False,0,0,,201.05000000000268,0.22615298087739336,25.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,889,0,59.85994024306428,1.0,terminated,stuck_timeout,exploration
6,2026-03-28T00:19:34.758769,1774675174.758769,1774675179.841038,5.082268953323364,40,1.2626262626262625,False,0,0,,-23.700000000000077,-0.07847682119205324,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.422278272486565,1.0,terminated,stuck_timeout,exploration
7,2026-03-28T00:19:40.560005,1774675180.5600047,1774675189.924324,9.364319324493408,104,3.2828282828282833,False,0,0,,44.69999999999955,0.0795373665480419,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,562,0,60.015040124702615,1.0,terminated,stuck_timeout,exploration
8,2026-03-28T00:19:50.767780,1774675190.76778,1774675199.6587665,8.890986442565918,84,2.6515151515151514,False,0,0,,21.94999999999969,0.04141509433962206,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,530,0,59.61093332260703,1.0,terminated,stuck_timeout,exploration
9,2026-03-28T00:20:00.493560,1774675200.4935603,1774675206.899713,6.406152725219727,61,1.9255050505050504,False,0,0,,0.2499999999999991,0.000657894736842103,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,380,0,59.31797387596098,1.0,terminated,stuck_timeout,exploration
10,2026-03-28T00:20:07.659061,1774675207.659061,1774675226.0137272,18.354666233062744,146,4.608585858585858,False,0,0,,63.949999999999505,0.05813636363636319,14.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1100,0,59.93026438250024,1.0,terminated,stuck_timeout,exploration
