episode_id,timestamp,start_time,end_time,duration,max_x_reached,level_progress_percent,level_completed,lives_used,deaths,death_causes,total_reward,avg_reward_per_frame,distance_reward,completion_reward,powerup_reward,enemy_reward,score_reward,coin_reward,death_penalty,movement_penalty,stuck_penalty,score,coins_collected,enemies_killed,powerups_collected,time_remaining,frames_processed,actions_taken,avg_fps,sync_quality,status,termination_reason,curriculum_phase
1,2026-03-27T00:27:48.781461,1774589268.7814615,1774589275.3768177,6.595356225967407,52,1.6414141414141417,False,0,0,,-10.849999999999934,-0.02753807106598968,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,394,0,59.73900218592182,1.0,terminated,stuck_timeout,exploration
2,2026-03-27T00:27:56.145230,1774589276.1452303,1774589282.2249773,6.079746961593628,40,1.2626262626262625,False,0,0,,-22.700000000000053,-0.06253443526170814,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,363,0,59.70643224020793,1.0,terminated,stuck_timeout,exploration
3,2026-03-27T00:28:02.899925,1774589282.8999245,1774589287.9305718,5.030647277832031,40,1.2626262626262625,False,0,0,,-23.55000000000009,-0.07798013245033142,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,60.032036300932546,1.0,terminated,stuck_timeout,exploration
4,2026-03-27T00:28:08.616625,1774589288.6166253,1774589293.652578,5.035952806472778,40,1.2626262626262625,False,0,0,,-23.15000000000008,-0.07665562913907312,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.96879073446346,1.0,terminated,stuck_timeout,exploration
5,2026-03-27T00:28:14.315156,1774589294.315156,1774589307.1834583,12.868302345275879,435,13.731060606060606,False,0,0,,416.1499999999976,0.5411573472041581,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,769,0,59.75924246777664,1.0,terminated,stuck_timeout,exploration
6,2026-03-27T00:28:28.242406,1774589308.242406,1774589313.2702277,5.027821779251099,40,1.2626262626262625,False,0,0,,-22.75000000000001,-0.07533112582781461,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,60.065772666465385,1.0,terminated,stuck_timeout,exploration
7,2026-03-27T00:28:33.954043,1774589313.9540427,1774589319.379933,5.4258904457092285,43,1.3573232323232325,False,0,0,,-20.099999999999987,-0.06184615384615381,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,325,0,59.898002595501836,1.0,terminated,stuck_timeout,exploration
8,2026-03-27T00:28:40.130925,1774589320.130925,1774589326.3126576,6.181732654571533,47,1.4835858585858586,False,0,0,,-14.849999999999984,-0.04035326086956517,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,368,0,59.53023538277016,1.0,terminated,stuck_timeout,exploration
9,2026-03-27T00:28:47.059989,1774589327.0599892,1774589332.1841602,5.124171018600464,40,1.2626262626262625,False,0,0,,-22.600000000000065,-0.07483443708609293,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,58.93636237037295,1.0,terminated,stuck_timeout,exploration
10,2026-03-27T00:28:52.919319,1774589332.9193194,1774589337.9493117,5.029992341995239,40,1.2626262626262625,False,0,0,,-22.85000000000006,-0.07566225165562933,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,60.039852840055445,1.0,terminated,stuck_timeout,exploration
11,2026-03-27T00:28:58.686771,1774589338.686771,1774589343.7219992,5.035228252410889,40,1.2626262626262625,False,0,0,,-23.400000000000084,-0.07748344370860955,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.977420061424446,1.0,terminated,stuck_timeout,exploration
12,2026-03-27T00:29:04.468107,1774589344.4681075,1774589349.5022802,5.034172773361206,40,1.2626262626262625,False,0,0,,-22.200000000000063,-0.07350993377483464,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.98999509871038,1.0,terminated,stuck_timeout,exploration
13,2026-03-27T00:29:10.218520,1774589350.2185204,1774589355.2829049,5.064384460449219,40,1.2626262626262625,False,0,0,,-23.300000000000065,-0.07715231788079492,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,302,0,59.63212357957755,1.0,terminated,stuck_timeout,exploration
