timestamp,episode,duration_seconds,total_steps,total_reward,mario_x_final,mario_x_max,level_completed,death_cause,lives_remaining,score,coins_collected,enemies_killed,powerups_collected,time_remaining,completion_percentage,average_reward_per_step,max_q_value,min_q_value,exploration_actions,exploitation_actions
1,2025-09-29T02:22:17.848475,1759130537.8484752,1759130538.766092,0.9176168441772461,2050,64.70959595959596,False,0,0,,206.0,4.03921568627451,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,0,55.578753075013175,1.0,terminated,forced_restart,exploration
2,2025-09-29T02:22:18.776097,1759130538.7760968,1759130553.1547432,14.37864637374878,2050,64.70959595959596,False,0,0,,2255.699999999996,3.597607655502386,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,627,0,43.60633008853458,1.0,terminated,stuck_timeout,exploration
2025-09-29T02:22:33.155952,1,13.767918586730957,627,2050.699999999996,2050,2050,False,stuck_timeout,0,0,0,0,0,0,64.70959595959596,3.2706539074960066,2050.699999999996,2050.699999999996,501,125
3,2025-09-29T02:22:33.176653,1759130553.1766534,1759130553.1827486,0.006095170974731445,2049,64.6780303030303,False,0,0,,204.9,204.9,204.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,164.0643066692744,1.0,terminated,forced_restart,exploration
4,2025-09-29T02:22:33.183086,1759130553.183086,1759130557.8826528,4.699566841125488,2050,64.70959595959596,False,0,0,,2255.149999999999,8.17083333333333,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,276,0,58.72881678897483,1.0,terminated,,exploration
2025-09-29T02:22:37.888171,2,4.18755578994751,276,2050.149999999999,2050,2050,False,,0,0,0,0,0,0,64.70959595959596,7.4280797101449245,2050.699999999996,2050.149999999999,220,55
5,2025-09-29T02:22:38.565117,1759130558.5651171,1759130558.8996115,0.33449435234069824,2050,64.70959595959596,False,0,0,,205.0,9.761904761904763,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,0,62.781329050992504,1.0,terminated,forced_restart,exploration
6,2025-09-29T02:22:38.899938,1759130558.8999383,1759130569.194987,10.295048713684082,2050,64.70959595959596,False,0,0,,2255.9999999999945,3.7475083056478313,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,602,0,58.47471116866375,1.0,terminated,stuck_timeout,exploration
2025-09-29T02:22:49.202639,3,9.78013563156128,602,2050.9999999999945,2050,2050,False,stuck_timeout,0,0,0,0,0,0,64.70959595959596,3.4069767441860375,2050.9999999999945,2050.149999999999,481,120
7,2025-09-29T02:22:49.217366,1759130569.217366,1759130578.60144,9.384073972702026,2050,64.70959595959596,False,0,0,,2255.6999999999957,4.288403041825087,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,526,0,56.05241407198167,1.0,terminated,,exploration
2025-09-29T02:22:58.606647,4,8.884087562561035,526,2050.6999999999957,2050,2050,False,,0,0,0,0,0,0,64.70959595959596,3.8986692015209043,2050.9999999999945,2050.149999999999,420,105
8,2025-09-29T02:22:59.303086,1759130579.303086,1759130579.6133955,0.31030941009521484,2050,64.70959595959596,False,0,0,,205.0,10.789473684210526,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,19,0,61.22920988496633,1.0,terminated,forced_restart,exploration
9,2025-09-29T02:22:59.614315,1759130579.614315,1759130580.9624577,1.3481426239013672,2050,64.70959595959596,False,0,0,,2255.0499999999997,30.473648648648645,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,0,54.89033481179658,1.0,terminated,,exploration
2025-09-29T02:23:00.965677,5,0.8391623497009277,74,2050.0499999999997,2050,2050,False,,0,0,0,0,0,0,64.70959595959596,27.703378378378375,2050.9999999999945,2050.0499999999997,59,14
