timestamp,episode,step,frame_id,sync_delay_ms,desync_detected,recovery_time_ms,frame_drops,buffer_size,lua_timestamp,python_timestamp,clock_drift_ms
2026-03-28T00:24:13.267071,30,300,1227,4.544973373413086,False,0.0,0,1,1774675453267,1774675453267,0
2026-03-28T00:24:16.281039,31,0,27,5.101919174194336,False,0.0,0,1,1774675456281,1774675456281,0
2026-03-28T00:24:22.930252,31,100,427,3.8301944732666016,False,0.0,0,1,1774675462930,1774675462930,0
2026-03-28T00:24:27.254410,32,0,28,1.3349056243896484,False,0.0,0,1,1774675467254,1774675467254,0
2026-03-28T00:24:33.928890,32,100,428,3.6954879760742188,False,0.0,0,1,1774675473928,1774675473928,0
2026-03-28T00:24:38.091053,33,0,28,4.637241363525391,False,0.0,0,1,1774675478091,1774675478091,0
2026-03-28T00:24:44.758692,33,100,428,2.2389888763427734,False,0.0,0,1,1774675484758,1774675484758,0
2026-03-28T00:24:46.508055,34,0,28,3.8909912109375,False,0.0,0,1,1774675486508,1774675486508,0
2026-03-28T00:24:53.165820,34,100,428,4.281759262084961,False,0.0,0,1,1774675493165,1774675493165,0
2026-03-28T00:24:55.941240,35,0,27,2.6710033416748047,False,0.0,0,1,1774675495941,1774675495941,0
2026-03-28T00:25:02.597334,35,100,427,3.0088424682617188,False,0.0,0,1,1774675502597,1774675502597,0
2026-03-28T00:25:09.271067,35,200,827,2.7930736541748047,False,0.0,0,1,1774675509271,1774675509271,0
2026-03-28T00:25:11.858108,36,0,27,2.857685089111328,False,0.0,0,1,1774675511858,1774675511858,0
2026-03-28T00:25:18.505539,36,100,427,2.6650428771972656,False,0.0,0,1,1774675518505,1774675518505,0
2026-03-28T00:25:21.918085,37,0,28,2.5298595428466797,False,0.0,0,1,1774675521918,1774675521918,0
2026-03-28T00:25:28.588656,37,100,428,3.132343292236328,False,0.0,0,1,1774675528588,1774675528588,0
2026-03-28T00:25:34.660823,38,0,27,3.2761096954345703,False,0.0,0,1,1774675534660,1774675534660,0
2026-03-28T00:25:41.349189,39,0,27,2.805471420288086,False,0.0,0,1,1774675541349,1774675541349,0
2026-03-28T00:25:48.004388,39,100,427,2.443075180053711,False,0.0,0,1,1774675548004,1774675548004,0
2026-03-28T00:25:54.662418,39,200,827,2.986907958984375,False,0.0,0,1,1774675554662,1774675554662,0
2026-03-28T00:25:58.254338,40,0,28,3.0989646911621094,False,0.0,0,1,1774675558254,1774675558254,0
2026-03-28T00:26:04.909104,40,100,428,1.9001960754394531,False,0.0,0,1,1774675564909,1774675564909,0
2026-03-28T00:26:11.550103,41,0,27,2.503633499145508,False,0.0,0,1,1774675571550,1774675571550,0
2026-03-28T00:26:18.221033,41,100,427,2.7647018432617188,False,0.0,0,1,1774675578221,1774675578221,0
2026-03-28T00:26:20.319285,42,0,27,3.3540725708007812,False,0.0,0,1,1774675580319,1774675580319,0
2026-03-28T00:26:27.262868,43,0,27,2.4602413177490234,False,0.0,0,1,1774675587262,1774675587262,0
2026-03-28T00:26:33.018244,44,0,28,3.0210018157958984,False,0.0,0,1,1774675593018,1774675593018,0
2026-03-28T00:26:39.686686,44,100,428,2.3984909057617188,False,0.0,0,1,1774675599686,1774675599686,0
2026-03-28T00:26:42.070522,45,0,27,4.804134368896484,False,0.0,0,1,1774675602070,1774675602070,0
2026-03-28T00:26:47.789263,46,0,27,2.947092056274414,False,0.0,0,1,1774675607789,1774675607789,0
2026-03-28T00:26:54.443852,46,100,427,1.8763542175292969,False,0.0,0,1,1774675614443,1774675614443,0
2026-03-28T00:27:01.117554,46,200,827,3.828287124633789,False,0.0,0,1,1774675621117,1774675621117,0
2026-03-28T00:27:07.771649,46,300,1227,2.4340152740478516,False,0.0,0,1,1774675627771,1774675627771,0
2026-03-28T00:27:12.397796,47,0,27,2.2542476654052734,False,0.0,0,1,1774675632397,1774675632397,0
2026-03-28T00:27:19.057613,47,100,427,2.3860931396484375,False,0.0,0,1,1774675639057,1774675639057,0
2026-03-28T00:27:25.710676,47,200,827,3.3533573150634766,False,0.0,0,1,1774675645710,1774675645710,0
2026-03-28T00:27:28.371179,48,0,28,2.283334732055664,False,0.0,0,1,1774675648371,1774675648371,0
2026-03-28T00:27:34.132057,49,0,28,2.5997161865234375,False,0.0,0,1,1774675654132,1774675654132,0
2026-03-28T00:27:39.870842,50,0,27,1.9991397857666016,False,0.0,0,1,1774675659870,1774675659870,0
2026-03-28T00:27:46.508482,50,100,425,3.4873485565185547,False,0.0,0,1,1774675666508,1774675666508,0
2026-03-28T00:27:47.396085,51,0,27,3.8161277770996094,False,0.0,0,1,1774675667396,1774675667396,0
2026-03-28T00:27:54.179538,51,100,427,2.9785633087158203,False,0.0,0,1,1774675674179,1774675674179,0
2026-03-28T00:28:00.834555,51,200,827,2.932310104370117,False,0.0,0,1,1774675680834,1774675680834,0
2026-03-28T00:28:09.767781,52,0,27,0.9112358093261719,False,0.0,0,1,1774675689767,1774675689767,0
2026-03-28T00:28:16.424836,52,100,427,1.9397735595703125,False,0.0,0,1,1774675696424,1774675696424,0
2026-03-28T00:28:18.486719,53,0,27,1.3675689697265625,False,0.0,0,1,1774675698486,1774675698486,0
2026-03-28T00:28:25.142775,53,100,427,1.9447803497314453,False,0.0,0,1,1774675705142,1774675705142,0
2026-03-28T00:28:26.892952,54,0,27,0.6971359252929688,False,0.0,0,1,1774675706892,1774675706892,0
2026-03-28T00:28:33.546478,54,100,427,1.9652843475341797,False,0.0,0,1,1774675713546,1774675713546,0
2026-03-28T00:28:39.484865,55,0,27,1.0349750518798828,False,0.0,0,1,1774675719484,1774675719484,0
2026-03-28T00:28:45.827039,56,0,27,2.056598663330078,False,0.0,0,1,1774675725827,1774675725827,0
2026-03-28T00:28:51.814933,57,0,27,1.016378402709961,False,0.0,0,1,1774675731814,1774675731814,0
2026-03-28T00:28:58.470501,57,100,427,1.621246337890625,False,0.0,0,1,1774675738470,1774675738470,0
2026-03-28T00:29:01.386454,58,0,27,0.9276866912841797,False,0.0,0,1,1774675741386,1774675741386,0
2026-03-28T00:29:07.411514,59,0,26,0.9238719940185547,False,0.0,0,1,1774675747411,1774675747411,0
2026-03-28T00:29:14.062480,59,100,426,1.8649101257324219,False,0.0,0,1,1774675754062,1774675754062,0
2026-03-28T00:29:20.734677,59,200,826,2.0971298217773438,False,0.0,0,1,1774675760734,1774675760734,0
2026-03-28T00:29:27.390018,59,300,1226,2.0263195037841797,False,0.0,0,1,1774675767390,1774675767390,0
2026-03-28T00:29:36.357411,60,0,26,1.1246204376220703,False,0.0,0,1,1774675776357,1774675776357,0
2026-03-28T00:29:43.279668,61,0,27,1.2001991271972656,False,0.0,0,1,1774675783279,1774675783279,0
2026-03-28T00:29:49.936179,61,100,427,2.0492076873779297,False,0.0,0,1,1774675789936,1774675789936,0
2026-03-28T00:29:54.061279,62,0,27,0.9076595306396484,False,0.0,0,1,1774675794061,1774675794061,0
2026-03-28T00:30:00.719382,62,100,427,2.3038387298583984,False,0.0,0,1,1774675800719,1774675800719,0
2026-03-28T00:30:07.939403,63,0,27,1.1560916900634766,False,0.0,0,1,1774675807939,1774675807939,0
2026-03-28T00:30:14.396600,64,0,27,0.9334087371826172,False,0.0,0,1,1774675814396,1774675814396,0
2026-03-28T00:30:21.054591,64,100,427,3.8192272186279297,False,0.0,0,1,1774675821054,1774675821054,0
2026-03-28T00:30:25.010067,65,0,27,0.7417201995849609,False,0.0,0,1,1774675825010,1774675825010,0
2026-03-28T00:30:31.685530,65,100,427,3.6220550537109375,False,0.0,0,1,1774675831685,1774675831685,0
2026-03-28T00:30:35.726422,66,0,27,0.9911060333251953,False,0.0,0,1,1774675835726,1774675835726,0
2026-03-28T00:30:42.404360,66,100,427,7.015466690063477,False,0.0,0,1,1774675842404,1774675842404,0
2026-03-28T00:30:44.120074,67,0,27,1.020669937133789,False,0.0,0,1,1774675844120,1774675844120,0
2026-03-28T00:30:50.204073,68,0,28,0.9758472442626953,False,0.0,0,1,1774675850204,1774675850204,0
2026-03-28T00:30:56.858554,68,100,428,1.7209053039550781,False,0.0,0,1,1774675856858,1774675856858,0
2026-03-28T00:31:02.414464,69,0,27,0.7290840148925781,False,0.0,0,1,1774675862414,1774675862414,0
2026-03-28T00:31:09.088005,69,100,427,1.8744468688964844,False,0.0,0,1,1774675869088,1774675869088,0
2026-03-28T00:31:15.513357,70,0,27,0.7622241973876953,False,0.0,0,1,1774675875513,1774675875513,0
